title,price_raw,rating_raw,availability_raw,category,price_gbp,price_inr,rating,in_stock
The Invention of Wings,Â£37.34,One,In stock,Historical Fiction,37.34,3939.37,1,1
World Without End (The Pillars of the Earth #2),Â£32.97,Four,In stock,Historical Fiction,32.97,3478.34,4,1
The Passion of Dolssa,Â£28.32,Five,In stock,Historical Fiction,28.32,2987.76,5,1
Girl With a Pearl Earring,Â£26.77,One,In stock,Historical Fiction,26.77,2824.24,1,1
Voyager (Outlander #3),Â£21.07,Five,In stock,Historical Fiction,21.07,2222.89,5,1
The Red Tent,Â£35.66,Five,In stock,Historical Fiction,35.66,3762.13,5,1
The Last Painting of Sara de Vos,Â£55.55,Two,In stock,Historical Fiction,55.55,5860.52,2,1
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,One,In stock,Historical Fiction,49.53,5225.42,1,1
Girl in the Blue Coat,Â£46.83,Two,In stock,Historical Fiction,46.83,4940.56,2,1
Between Shades of Gray,Â£20.79,Five,In stock,Historical Fiction,20.79,2193.34,5,1
While You Were Mine,Â£41.32,Five,In stock,Historical Fiction,41.32,4359.26,5,1
The Secret Healer,Â£34.56,Three,In stock,Historical Fiction,34.56,3646.08,3,1
Starlark,Â£25.83,Three,In stock,Historical Fiction,25.83,2725.06,3,1
Lost Among the Living,Â£27.70,Four,In stock,Historical Fiction,27.7,2922.35,4,1
A Spy's Devotion (The Regency Spies of London #1),Â£16.97,Five,In stock,Historical Fiction,16.97,1790.33,5,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,In stock,Sequential Art,52.29,5516.6,5,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,One,In stock,Sequential Art,16.28,1717.54,1,1
This One Summer,Â£19.49,Four,In stock,Sequential Art,19.49,2056.19,4,1
The Nameless City (The Nameless City #1),Â£38.16,Four,In stock,Sequential Art,38.16,4025.88,4,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,Two,In stock,Sequential Art,51.04,5384.72,2,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,Three,In stock,Sequential Art,50.4,5317.2,3,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,Five,In stock,Sequential Art,13.61,1435.86,5,1
"Pop Gun War, Volume 1: Gift",Â£18.97,One,In stock,Sequential Art,18.97,2001.33,1,1
Patience,Â£10.16,Three,In stock,Sequential Art,10.16,1071.88,3,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,Four,In stock,Sequential Art,15.44,1628.92,4,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,One,In stock,Sequential Art,48.41,5107.25,1,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,Two,In stock,Sequential Art,46.91,4949.0,2,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,Three,In stock,Sequential Art,45.61,4811.85,3,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,Two,In stock,Sequential Art,19.92,2101.56,2,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,Two,In stock,Sequential Art,29.17,3077.44,2,1
I am a Hero Omnibus Volume 1,Â£54.63,Three,In stock,Sequential Art,54.63,5763.46,3,1
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,Two,In stock,Sequential Art,22.11,2332.6,2,1
Danganronpa Volume 1,Â£51.99,Four,In stock,Sequential Art,51.99,5484.95,4,1
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,Four,In stock,Sequential Art,36.72,3873.96,4,1
Camp Midnight,Â£17.08,Four,In stock,Sequential Art,17.08,1801.94,4,1
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,Two,In stock,Sequential Art,37.92,4000.56,2,1
The Shadow Hero (The Shadow Hero),Â£33.14,One,In stock,Sequential Art,33.14,3496.27,1,1
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,Four,In stock,Sequential Art,41.62,4390.91,4,1
Batman: The Long Halloween (Batman),Â£36.50,Two,In stock,Sequential Art,36.5,3850.75,2,1
Batman: The Dark Knight Returns (Batman),Â£15.38,Five,In stock,Sequential Art,15.38,1622.59,5,1
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,Four,In stock,Sequential Art,37.34,3939.37,4,1
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â£53.90,One,In stock,Sequential Art,53.9,5686.45,1,1
Through the Woods,Â£25.38,Two,In stock,Sequential Art,25.38,2677.59,2,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,Five,In stock,Sequential Art,11.89,1254.4,5,1
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,Four,In stock,Sequential Art,35.43,3737.86,4,1
Robin War,Â£47.82,Three,In stock,Sequential Art,47.82,5045.01,3,1
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â£25.48,Two,In stock,Sequential Art,25.48,2688.14,2,1
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â£38.39,Two,In stock,Sequential Art,38.39,4050.14,2,1
Lowriders to the Center of the Earth (Lowriders in Space #2),Â£51.51,Two,In stock,Sequential Art,51.51,5434.3,2,1
El Deafo,Â£57.62,Five,In stock,Sequential Art,57.62,6078.91,5,1
Batman: Europa,Â£32.01,Two,In stock,Sequential Art,32.01,3377.06,2,1
Art Ops Vol. 1,Â£48.80,Three,In stock,Sequential Art,48.8,5148.4,3,1
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Â£10.90,Two,In stock,Sequential Art,10.9,1149.95,2,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Â£33.95,Four,In stock,Sequential Art,33.95,3581.73,4,1
Roller Girl,Â£14.10,Five,In stock,Sequential Art,14.1,1487.55,5,1
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Â£19.57,One,In stock,Sequential Art,19.57,2064.64,1,1
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Â£20.96,Four,In stock,Sequential Art,20.96,2211.28,4,1
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Â£36.39,Three,In stock,Sequential Art,36.39,3839.14,3,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Â£16.33,One,In stock,Sequential Art,16.33,1722.81,1,1
"Death Note, Vol. 5: Whiteout (Death Note #5)",Â£52.41,One,In stock,Sequential Art,52.41,5529.25,1,1
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Â£27.88,Two,In stock,Sequential Art,27.88,2941.34,2,1
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Â£50.44,Four,In stock,Sequential Art,50.44,5321.42,4,1
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Â£14.41,Three,In stock,Sequential Art,14.41,1520.26,3,1
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Â£55.55,Five,In stock,Sequential Art,55.55,5860.52,5,1
"Saga, Volume 3 (Saga (Collected Editions) #3)",Â£21.57,Five,In stock,Sequential Art,21.57,2275.64,5,1
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Â£43.63,Three,In stock,Sequential Art,43.63,4602.96,3,1
Persepolis: The Story of a Childhood (Persepolis #1-2),Â£39.13,One,In stock,Sequential Art,39.13,4128.22,1,1
Original Fake,Â£31.45,Three,In stock,Sequential Art,31.45,3317.98,3,1
"Grayson, Vol 3: Nemesis (Grayson #3)",Â£42.72,One,In stock,Sequential Art,42.72,4506.96,1,1
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Â£45.17,Two,In stock,Sequential Art,45.17,4765.44,2,1
"Black Butler, Vol. 1 (Black Butler #1)",Â£49.31,One,In stock,Sequential Art,49.31,5202.2,1,1
Awkward,Â£38.02,Two,In stock,Sequential Art,38.02,4011.11,2,1
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Â£54.81,One,In stock,Sequential Art,54.81,5782.46,1,1
"Saga, Volume 2 (Saga (Collected Editions) #2)",Â£11.75,Three,In stock,Sequential Art,11.75,1239.62,3,1
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Â£11.64,Five,In stock,Sequential Art,11.64,1228.02,5,1
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Â£18.51,Four,In stock,Sequential Art,18.51,1952.8,4,1
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Â£36.52,Two,In stock,Sequential Art,36.52,3852.86,2,1
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Â£54.12,Three,In stock,Sequential Art,54.12,5709.66,3,1
The Complete Maus (Maus #1-2),Â£10.64,Three,In stock,Sequential Art,10.64,1122.52,3,1
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Â£42.12,Three,In stock,Sequential Art,42.12,4443.66,3,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",Â£28.48,One,In stock,Sequential Art,28.48,3004.64,1,1
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Â£46.96,Five,In stock,Sequential Art,46.96,4954.28,5,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Â£21.71,Four,In stock,Sequential Art,21.71,2290.41,4,1
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Â£29.87,Three,In stock,Sequential Art,29.87,3151.29,3,1
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Â£39.39,Four,In stock,Sequential Art,39.39,4155.65,4,1
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Â£45.24,Three,In stock,Sequential Art,45.24,4772.82,3,1
"Giant Days, Vol. 1 (Giant Days #1-4)",Â£56.76,Four,In stock,Sequential Art,56.76,5988.18,4,1
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Â£40.28,Five,In stock,Sequential Art,40.28,4249.54,5,1
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Â£34.65,Five,In stock,Sequential Art,34.65,3655.58,5,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Â£57.06,Four,In stock,Sequential Art,57.06,6019.83,4,1
